"Genre","Red","Green","Blue","Maroon","Pink","Brown","Orange","Apricot","Olive","Yellow","Beige","Lime","Mint","Teal","Cyan","Navy","Purple","Lavender","Magenta","Black","Grey","White"
"Action",0.0109007960502089,0.00116156955096585,0.00558053473115689,0.0618109573969931,0.0321068280286051,0.0492280449716086,0.0165847582071367,0.0471140338514555,0.012628375030119,0.00606243834134233,0.0265376589486318,0.010175667504694,0.0195977923359141,0.0250771727715368,0.00210946485967967,0.0224903505621451,0.00101836234605225,0.0146548706361582,0.000225039893435654,0.364180468355754,0.170655252522038,0.100099563104369
"Adventure",0.00702140787428634,0.00250806407522825,0.0164874216046924,0.0589009426962519,0.0316334340854597,0.0532560900364738,0.0259163366839273,0.0637999172114311,0.0150190960425502,0.00367374274623741,0.0301914680912549,0.0119252637909354,0.0249712973593571,0.0271796433843342,0.0076179151339066,0.0304267516421035,0.00126135413981896,0.0232540203222506,0.000165967649976179,0.283272608699048,0.173718339230066,0.10779891750041
"Animation",0.00722778360015901,0.0104389845996582,0.0410589735514747,0.0657082969793027,0.0266421266204433,0.0498613814359541,0.0199874030057254,0.0601222527968941,0.0187509357398411,9.80913488593003e-05,0.0338492594103161,0.0149615120523292,0.0357749474695013,0.0388028725277108,0.0201990738111587,0.0472903555553261,0.00101447105530803,0.0268047517514468,9.55099975735295e-05,0.211786966241088,0.159411348652793,0.110112701797137
"Biography",0.00642704843131282,0.00161975237856337,0.00738384906201286,0.0510114493558617,0.040022576194657,0.0416100768665675,0.0291161240615649,0.0520811309598466,0.0131461539839816,0.00184372256365233,0.0386447116159897,0.00995144326387271,0.0213577968500833,0.0141298310368924,0.00270376807439394,0.0072512587124402,0.0038021178620702,0.0158337962050492,0.000650409417498343,0.322314597480783,0.161955528480049,0.157142857142857
"Comedy",0.00986091276983753,0.0029520433876206,0.0113839100284425,0.0572824981902046,0.0465206435355689,0.0509808497929119,0.019059222836256,0.0781337152034685,0.0139967403902829,0.00133410604016757,0.0440007753440589,0.0149906444454114,0.0200106016432547,0.021209220264962,0.00697512965255883,0.0206198005466967,0.00105719744769394,0.0280271053953661,4.74700444240498e-05,0.210991490994537,0.164925768718032,0.175640153328243
"Crime",0.0120700353109735,0.000558432328155142,0.00439412912760461,0.0554292031903972,0.0429812389300662,0.0459144188355276,0.015215306686522,0.0510215363093828,0.0133313026703219,0.00801999074920184,0.0233661623853521,0.00860549858417662,0.0142022314730204,0.0149265012804458,0.00178811159621394,0.0134723209350075,0.000107173881161088,0.019547387777665,7.10732054015635e-05,0.36885414198847,0.157497095023747,0.128626707731185
"Drama",0.0102422360524929,0.00103811817314094,0.00774630108797328,0.050359382839541,0.0416926063729327,0.0484138253812103,0.0240363306385714,0.061842591397323,0.0153679644044699,0.00439634302603976,0.0336474289962144,0.0119442411308461,0.0161068883353672,0.0191900834119208,0.00277096474086472,0.0138630904952889,0.00122507483035591,0.0234077365717109,0.000165971726303085,0.315020695593228,0.165153313997521,0.132368810796683
"Family",0.00638544460376069,0.0121059708921792,0.0259801044553242,0.0595194757917728,0.0257720853175635,0.0620119908174409,0.030263069916718,0.0796044664680579,0.0169535597274949,7.4292549200239e-06,0.0433311293210404,0.0147916465457679,0.0242416588040385,0.0347317667511125,0.015118533762249,0.0364962147946182,0.000286026314420927,0.0251294547669814,7.4292549200239e-06,0.242290290706745,0.147340698201377,0.0976315535314963
"Fantasy",0.0016547950982919,0.00480915672813327,0.0155169989924787,0.0533019752102908,0.0387895686403149,0.0518111952013871,0.00935471777689261,0.0523911056960097,0.0135312448745285,0.000866936901052039,0.0285884158485438,0.00756226715714989,0.0161320555776846,0.0337988237775018,0.0139500691206448,0.0318599311136625,1.17153635277302e-05,0.0159533962838867,0,0.351323250310457,0.177991518076806,0.0808008622507556
"Film-Noir",0.00218296273733374,0.000203066301147323,0.00106609808102345,0.0724946695095949,0.0764290790943243,0.0584830947304295,0.030053812569804,0.160092395167022,0.016676819981724,5.076657528683e-05,0.0524926388465834,0.0189866991572748,0.00786881916945882,0.0113970961518936,0.000152299725860493,0.00200527972382983,0,0.00324906081835719,5.076657528683e-05,0.193572951568687,0.15123362777947,0.141257995735608
"History",0.0083517876694849,2.05810440352013e-05,0.00268376814219032,0.0436359295634349,0.0377044726724897,0.0510574540425287,0.0557499320825547,0.0509422001959315,0.012340394003507,0.000588617859406771,0.0300483242913946,0.0243803047641001,0.0143902659894131,0.0123362777947,0.000938495608005202,0.00776728601888516,0.000432201924739238,0.00901449728741839,0,0.332326234245211,0.152172123387475,0.153118851413094
"Horror",0.0394904230348856,0.00121839780688395,0.00971134722545735,0.0396964756051674,0.0435129275590833,0.0209277740947125,0.00550966655318844,0.0382809840354052,0.0119241726541363,0.038406407339055,0.0229166293383025,0.0269122574402895,0.0317231370160004,0.0168873519557077,0.00273243625808532,0.0123810718317178,0.00462274462023615,0.023839386500869,0.00115568615505904,0.28786439949114,0.140026159717618,0.180260163766999
"Music",0.00733475479744136,0.000712762717027108,0.0149192811452939,0.0488151081328054,0.0338349070971672,0.0368626256472738,0.0134328358208955,0.0587572342369784,0.0129454766981419,0.0037039293329272,0.0341090466037161,0.00514773073408468,0.00965580261955528,0.0328236369174535,0.00339932988120621,0.0297471824550716,0.014456289978678,0.0180566554980201,0.00221139201949436,0.351063052086506,0.145909229363387,0.122101736216875
"Musical",0.00872677429180627,0.00068534876637222,0.00207127627170271,0.052482485531526,0.0663265306122449,0.0637222053000305,0.0986445324398416,0.0703472433749619,0.00755406640268047,0.00102040816326531,0.057112397197685,0.035485836125495,0.00604629911666159,0.00130977764240024,0.00327444410600061,0.00229972586049345,0.000121839780688394,0.00804142552543405,0,0.148537922631739,0.0712153518123667,0.294974109046604
"Mystery",0.00457591449062664,0.000256140448038102,0.00563508985683826,0.0462206592270558,0.0313022088075393,0.0472821421648714,0.0201197168148128,0.0546756015839171,0.010206389204257,0.00218527030893769,0.0298345932674291,0.00603429974432106,0.0182113550983487,0.0378972484516195,0.00251986819150998,0.0250371519028235,0,0.0204773904134245,0,0.380758544937649,0.159617035416609,0.0971533796693711
"Romance",0.0170181505437996,0.00202648223468492,0.0101754134489617,0.0512479618713157,0.0522728494382828,0.0554980201035638,0.0233950296536525,0.0669581265341958,0.0198688430596119,0.00115389439357833,0.0424790811847127,0.0118525021949078,0.0181147085699952,0.0180107864041139,0.00238483453082726,0.0100589489527154,0.00166812993854258,0.0299260002508466,6.09198903441972e-05,0.233776495672896,0.173444303094372,0.158608518034079
"Sci-Fi",0.0235669723942645,9.58924199862363e-05,0.00320111460836407,0.0390366760302794,0.034405636218003,0.0269203867284891,0.00935797204453921,0.0244046208864972,0.00662503807493146,0.000682528401078508,0.0170434674699067,0.00405850565765278,0.0295969133922226,0.0312101623402263,0.00304881488250358,0.0269570514773073,2.53832876434154e-05,0.0284095396035695,2.82036529371278e-06,0.411316433704493,0.19694046772938,0.0830936022833677
"Sport",0.000203066301147324,0.00572646969235455,0.0118895319321759,0.0480861001116865,0.0326429079094324,0.0447355061427556,0.0182353538430297,0.0264189257792669,0.0137475885876739,0.000192912986089958,0.0161945375164991,0.00258909533962839,0.0135445222865265,0.0430602091582902,0.000720885369073001,0.00949334957863742,0,0.0151487460655904,0,0.43076454462382,0.150340136054422,0.116265610721901
"Thriller",0.0086114153505162,0.00140634214943519,0.00441345163025515,0.0497874284677351,0.0371514118508629,0.0392512038159182,0.013831731485862,0.0335837097620884,0.0120332985528286,0.00208196965670994,0.020751647753417,0.00601583917148949,0.0177461584824466,0.0230944711959093,0.00260529743812419,0.0188495213900104,1.45818886462174e-05,0.0171871860843416,9.55923811252033e-05,0.41110232597326,0.159971419498253,0.120413996020765
"War",0.00673926286932683,0.00123471563465471,0.00573299682346286,0.0531580436012358,0.038874505025891,0.0635144249597493,0.0179931247552326,0.0462882381097428,0.0151755798268135,0.00498237674600757,0.0378954353596449,0.00607567120664897,0.0136852182237501,0.0157521430747139,0.000446020625734302,0.00960576128105826,0,0.0242863669988251,0,0.277288847308646,0.169090770636613,0.192180496932248
"Western",0.0068534876637222,0,0.0058459664003374,0.0692963752665245,0.0477518217390286,0.0558588533002179,0.0165303779376274,0.0545701633121676,0.0159914712153518,0.0140935823238595,0.0492279575435226,0.0115044869842311,0.0049555987722299,0.00690034911783312,0.000210876543499145,0.0073572482954146,0,0.00838820028585487,0,0.236662058623679,0.135839640104032,0.252161484570866
